PLZ;ORT
"24306;""BÃƒÂ¶sdorf"""
"66887;""Welchweiler"""
"67742;""Ginsweiler"""
"78315;""Radolfzell"""
"19309;""Baarz"""
"47441;""Moers"""
"56068;""Koblenz"""
"23911;""Kittlitz"""
"38889;""Heimburg"""
"88299;""Leutkirch"""
"26188;""Edewecht"""
"19230;""HÃƒÂ¼lseburg"""
"24891;""HollmÃƒÂ¼hle"""
"73655;""Pfahlbronner MÃƒÂ¼hle"""
"65623;""HahnstÃƒÂ¤tten"""
"64747;""Breuberg"""
"38275;""Haverlah"""
"29339;""Wathlingen"""








"64711;""Erbach"""
"31719;""Wiedensahl"""
"24306;""Hinterste Wache"""
"88267;""Vogt"""
"88719;""Stetten"""
"94366;""Perasdorf"""
